	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
170	17.4	1.5	49816.26248265676	77766.83442931334	57655.45279383921
173	17.4	2.25	52689.28840274894	99084.22821616309	80741.66411992462
169	17.4	1.25	50121.79184921335	88520.49916705758	68313.54214403941
179	17.5	2.0	52819.754749111955	101555.95452641537	72953.15506607291
180	17.5	2.25	51269.48981264933	83655.88422872107	70148.6495395872
181	17.5	2.5	52933.61245202214	72108.4263789143	61470.08863629821
176	17.5	1.25	49396.02843319946	83838.55061408147	68414.38330385428
177	17.5	1.5	54094.911600302956	108255.24369566592	82180.42868562898
175	17.5	1.0	49139.57892979922	92231.64721969957	71095.57133513845
178	17.5	1.75	50944.0063457825	87904.96617363642	71242.9246113886
186	17.6	2.0	51317.67377068361	83672.87881899666	70109.84103399205
187	17.6	2.25	52891.976083190195	94584.58638103955	74293.07790310352
184	17.6	1.5	53051.79708061066	91928.33362720751	72351.18049869144
188	17.6	2.5	52763.38338943415	78363.52890208183	74778.84067596828
185	17.6	1.75	50397.93886071855	84408.22101301298	68380.88879925576
182	17.6	1.0	49386.34012256853	79905.5005729915	63979.805750498395
183	17.6	1.25	49803.30178715221	73421.33831149653	61321.919670984484
190	17.7	1.25	51622.989563697265	98834.04961381697	74656.02204114679
193	17.7	2.0	51089.38827768599	77410.9095301417	64022.342841363294
194	17.7	2.25	52158.027049664364	70018.93015456584	62409.89618390162
192	17.7	1.75	51560.989237828355	81946.07057810125	62226.148200444404
189	17.7	1.0	49763.70881842038	81357.56340387274	61862.56931249736
195	17.7	2.5	53088.05835648996	72100.23835580693	61485.13645954276
191	17.7	1.5	50997.0566917924	102830.6568448339	77989.02814383693
198	17.8	1.5	50326.371215184416	62307.77325953003	55492.34085930997
196	17.8	1.0	48557.25892816528	75609.27494882337	64089.462520303656
201	17.8	2.25	51698.022647767044	88184.89417977016	66510.154263088
200	17.8	2.0	56812.947988584936	112923.43693397866	77580.99464025871
202	17.8	2.5	52974.67004571841	78670.66660657352	74746.7748114129
197	17.8	1.25	49650.08791791641	74342.66039914866	58108.87406244278
199	17.8	1.75	59075.75206575668	110422.68651505036	83542.61556784486
206	17.9	1.75	50243.35823529679	84070.35789970995	66920.67988638514
205	17.9	1.5	49370.43933638431	82552.42543880835	62910.511949728636
203	17.9	1.0	49578.58290548413	88629.43786837743	66071.16748132746
208	17.9	2.25	50580.234961157104	102168.68460733081	76650.02411252503
207	17.9	2.0	51291.82292081629	66001.90717387678	56948.71773046093
209	17.9	2.5	52096.94248727593	72568.75140028131	65036.488754614365
204	17.9	1.25	52696.59080748906	94061.38082036133	70216.7974468566
214	18.0	2.0	51809.95357806314	73523.77706869741	61745.27975289807
213	18.0	1.75	51253.63197307263	87484.37325426488	71689.53059695047
211	18.0	1.25	49480.73266320357	65451.68770723492	57452.83687375084
212	18.0	1.5	49800.83203210955	100590.26509182295	70729.95557410689
216	18.0	2.5	53232.7459363589	72787.70812115667	61748.049027269706
215	18.0	2.25	54008.813505823004	98737.91772533937	82581.72194797882
210	18.0	1.0	49288.51582896015	71649.4886322884	64504.79781344155
223	18.1	2.5	53014.066498369226	78464.41747103643	74643.98930707936
220	18.1	1.75	54981.27570271727	103401.9987474043	74183.16568722589
218	18.1	1.25	50429.8050810831	99837.73520332396	71349.79072541777
221	18.1	2.0	51046.642994933536	90450.51084188417	67627.72119980122
217	18.1	1.0	49033.60562551233	78862.03555773965	60961.68116794364
219	18.1	1.5	49900.96977610743	69913.7926254188	59909.422661767276
222	18.1	2.25	51321.320949578556	62524.29084447188	56237.199051128315
225	18.2	1.25	50049.47080801585	98040.30397603707	72173.24582378396
224	18.2	1.0	49365.03268900273	83911.09319440034	61278.37910988764
226	18.2	1.5	50305.780654772534	85295.17335401199	71559.7370533917
228	18.2	2.0	52411.95795212247	90962.2488640753	70891.8749160884
229	18.2	2.25	52371.31654339502	86651.09972033271	51884.39317001423
230	18.2	2.5	53322.84869617583	73285.9742540457	62411.831381698306
227	18.2	1.75	50730.64279096274	67947.85193969664	57277.77557160398
237	18.3	2.5	53154.95949392732	78635.76969336311	74586.28701510589
235	18.3	2.0	51111.30074427003	68747.84713789944	59501.58226713428
236	18.3	2.25	53980.253348044	100598.14750037527	75644.08750841326
231	18.3	1.0	49390.25433242148	87695.34760297042	68011.67562843762
234	18.3	1.75	51749.68999966417	79278.47691966285	58168.18552751646
232	18.3	1.25	49002.298924307055	78554.57503292251	65944.2856348725
233	18.3	1.5	49694.837676831055	90955.2273810369	65938.46973424492
238	18.4	1.0	49142.81881509389	87554.14116584665	66096.00633484988
240	18.4	1.5	51046.26330375111	84904.20908912811	68260.64523320194
241	18.4	1.75	51556.071606630256	80717.32887282973	63749.879702629776
242	18.4	2.0	52052.096542189756	62988.07697449168	54669.79306927196
239	18.4	1.25	49590.643935057524	90464.12990012224	65135.48778428334
