	Windspeed	STDeV	Leq_x	Leq_y
338	20.7	1.5	6939.217575757575	4419.51515151515
339	20.7	2.0	6898.286060606059	6069.691666666667
340	20.7	2.25	7069.340909090908	6626.575454545455
341	20.7	2.5	7311.105909090908	6927.975757575758
337	20.7	1.25	6995.113636363636	3853.01
346	20.8	2.25	6976.309696969696	6472.7
345	20.8	2.0	7167.63409090909	5884.713636363636
347	20.8	2.5	6901.743333333334	7545.369545454544
343	20.8	1.25	6979.3499999999985	3832.052121212121
342	20.8	1.0	6869.229545454546	3369.7175757575756
344	20.8	1.5	6853.042424242423	4771.110909090909
348	20.9	1.0	6879.93818181818	3437.1822727272724
349	20.9	1.25	6884.422575757575	4111.714696969697
350	20.9	1.5	6836.581818181818	4440.587878787879
351	20.9	2.0	7014.111818181819	6051.318181818182
352	20.9	2.25	7126.533333333334	6351.897272727272
353	20.9	2.5	7257.2569696969695	7156.686818181818
359	21.0	2.5	7305.14196969697	6954.328181818183
358	21.0	2.25	7188.200757575758	6511.903787878788
355	21.0	1.25	6898.1971212121225	3976.2154545454546
356	21.0	1.5	7131.515151515152	4338.230303030303
354	21.0	1.0	6780.368181818183	3473.9053030303035
357	21.0	2.0	6988.221060606061	5712.525
360	21.1	1.0	6928.912727272727	3075.55303030303
361	21.1	1.25	7000.393333333334	4027.888333333333
362	21.1	1.5	7002.002878787879	4614.141666666667
363	21.1	2.0	7236.326060606061	6057.730909090909
364	21.1	2.25	7418.943636363636	6591.212727272727
365	21.1	2.5	7487.199999999998	7124.424242424242
366	21.2	1.0	6941.546666666666	3213.6181818181817
367	21.2	1.25	6826.344696969697	4203.315757575757
368	21.2	1.5	6858.366666666665	4621.267575757575
369	21.2	2.0	7290.346212121212	5648.6996969696975
370	21.2	2.25	7065.738484848484	6801.839393939394
371	21.2	2.5	7258.994848484847	7042.254545454545
377	21.3	2.5	7124.174242424241	7073.495757575758
372	21.3	1.0	6867.733333333333	3485.6363636363635
373	21.3	1.25	6923.72090909091	3915.3333333333335
374	21.3	1.5	6708.998181818181	4667.833333333332
375	21.3	2.0	7069.878636363636	6107.719999999999
376	21.3	2.25	7167.286363636363	6324.284545454545
381	21.4	2.0	7240.09606060606	5600.393939393939
378	21.4	1.0	6881.084090909092	3425.9545454545455
379	21.4	1.25	6898.2969696969685	4178.731212121212
380	21.4	1.5	7029.337272727273	4506.078181818181
382	21.4	2.25	7284.674242424242	6329.198181818182
383	21.4	2.5	7112.9236363636355	7102.579090909089
