	Windspeed	STDeV	Leq_x	Leq_y	Leq_res
255	18.6	1.75	51239.305955075644	81870.43174211023	64423.54212873933
256	18.6	2.0	52675.05529516533	93737.5852601877	76861.91280147432
253	18.6	1.25	48977.49891347798	78353.73092265576	57967.01594988158
258	18.6	2.5	53152.86131581579	67861.15751195479	60760.173076055224
257	18.6	2.25	56306.900671602925	106370.03326934733	77260.54318227821
261	18.7	1.5	50072.42700507426	84871.04227863612	63540.16037036641
259	18.7	1.0	49615.159993182984	86201.28177035946	61656.40860391386
265	18.7	2.5	52843.85439121345	95007.52665633505	74651.31548085883
264	18.7	2.25	53456.83754859207	97761.0805676325	75972.76742354687
262	18.7	1.75	51571.40442929643	96596.48919942815	70338.18493721183
263	18.7	2.0	51446.72042593851	105443.94235508391	72737.13378315186
260	18.7	1.25	50245.91401327189	92761.73431835731	64061.9873752975
268	18.8	1.5	51187.00535330605	99860.6656808617	74620.41207495303
266	18.8	1.0	49040.324922409294	87743.20521172797	61985.73388605097
272	18.8	2.5	52704.80013522448	61586.60861087114	59475.22851040928
270	18.8	2.0	52184.41926400683	96042.9833188709	67229.32235263982
269	18.8	1.75	54770.8905467019	77292.698295792	61575.78485363633
267	18.8	1.25	50637.38969270088	66229.41215152267	54950.4138458279
271	18.8	2.25	52844.21266710775	101734.24645885668	74885.90800175199
275	18.9	1.5	51182.35424930477	70681.9407598955	55415.96908632574
273	18.9	1.0	48845.48251274745	81102.69734560298	64807.80647683022
279	18.9	2.5	61043.96661885417	115724.33364172562	90023.58628993941
278	18.9	2.25	53792.923488726075	117406.43371717032	77186.87007062219
276	18.9	1.75	50611.40859781388	93079.24385138572	72233.31292727418
274	18.9	1.25	50939.61829914611	88494.16668769359	64362.13501741684
277	18.9	2.0	52133.59266600328	94352.28873552733	69977.56325909802
285	19.0	2.25	52580.470367253925	70384.23048631339	62954.03510925788
284	19.0	2.0	50823.65503653692	76344.61355395902	60910.9054900818
286	19.0	2.5	51545.509717362926	103078.33004152321	68300.78881487377
282	19.0	1.5	50620.7762252423	97405.25216269917	76333.07655757407
281	19.0	1.25	50304.837289332114	79741.02090682548	63429.58986387921
280	19.0	1.0	49406.13105553528	96516.87419371113	69266.82722212435
283	19.0	1.75	50229.371421374526	87042.88770937953	67234.0201222612
293	19.1	2.5	53498.231755271874	71352.22381420237	62717.966023245404
287	19.1	1.0	48839.497148001225	86296.25015222248	66125.45214592476
288	19.1	1.25	49701.73731993016	96337.45491624536	71570.59272895257
292	19.1	2.25	56884.37531194254	106815.02006589885	84848.78597833733
290	19.1	1.75	58577.602679983815	101048.7579411895	73417.83517177167
289	19.1	1.5	50156.446524942716	95998.91047326801	67152.28336862121
291	19.1	2.0	52948.94093323834	97667.31000437301	70116.78263313288
294	19.2	1.0	49576.43208866498	103958.10962070746	72436.65103117289
296	19.2	1.5	50947.8641049449	100543.4520934407	65742.11831663645
295	19.2	1.25	49954.982335609064	65714.07810587317	55985.87605093
299	19.2	2.25	52428.718649869836	65845.5655274191	59366.00752845387
298	19.2	2.0	53304.53708671509	79056.80614572535	65214.02450031985
300	19.2	2.5	53235.69307869248	95739.21943864264	74500.89720663606
297	19.2	1.75	50950.508282900715	86110.53532996062	68075.08857641512
304	19.3	1.75	51471.54474762645	96502.61446605391	65639.68722331243
301	19.3	1.0	49472.10827360591	83723.3474214051	68556.45426685299
303	19.3	1.5	50433.00900168841	97542.95572814177	69528.12992776296
302	19.3	1.25	50785.8700337958	98621.23908708719	66173.06027096146
306	19.3	2.25	52860.199393697636	84847.55154050564	64592.385108107104
305	19.3	2.0	51798.96299026405	78930.9420736467	58148.04160019646
307	19.3	2.5	53145.65816847289	62105.5653868496	59052.8888460877
310	19.4	1.5	50756.87584950146	100380.48353224692	71367.44871329234
312	19.4	2.0	51683.77765881236	77082.2882564176	63163.6851329532
311	19.4	1.75	51218.55378722913	80230.95689786239	61953.9234910639
309	19.4	1.25	50036.88109839825	100098.04922568784	69098.66195450287
313	19.4	2.25	53530.64952873202	88706.73012438386	72599.06198587739
314	19.4	2.5	61775.18015221719	119674.15386715587	90000.26757554001
308	19.4	1.0	49314.356232522834	83261.53311566502	60840.08650763224
318	19.5	1.75	52229.03662331392	94291.68715456587	65806.15791946708
317	19.5	1.5	51034.21134560069	87214.07043414902	67894.0504705639
320	19.5	2.25	54061.23931699154	105837.83821672236	74428.63637742978
319	19.5	2.0	51702.453844133255	83927.25032321487	62998.92385148865
315	19.5	1.0	51419.67012258578	102739.7992236723	69088.40686013566
316	19.5	1.25	50598.565497202304	102603.63209670443	66200.71360688792
321	19.5	2.5	53574.596781445274	83049.10478415102	63276.57057364088
322	19.6	1.0	49216.42950914843	98039.31292236157	64515.09870933821
324	19.6	1.5	50907.382973479376	99248.74545435178	70898.96475530315
323	19.6	1.25	51130.330203446225	69568.09616032268	54271.94232488152
328	19.6	2.5	56520.92061235721	96871.03072116991	65814.24508508423
325	19.6	1.75	50824.017233287996	74194.27737083477	62386.162448857845
327	19.6	2.25	53844.1100136678	95633.14516679628	72753.95783750933
326	19.6	2.0	52584.280873526026	71899.29529359024	58314.19593873722
333	19.7	2.0	52083.458972514134	84713.90319537857	66460.5837766999
335	19.7	2.5	51671.85286427504	107241.60781778743	68147.5496644616
334	19.7	2.25	53438.11027122167	91124.79387477691	59899.10575541475
329	19.7	1.0	49736.760722515864	101285.38478013205	66980.11972960892
332	19.7	1.75	53103.599779058066	108093.01613752481	74567.48875590834
331	19.7	1.5	50183.047173601306	91923.14717088809	63475.27257407129
330	19.7	1.25	49176.560757700754	87792.35156394193	66390.60505091028
